Title,Subtitle,Leaves,Weight
Calendula,Sunshine in a cup,calendula,30 grams
Chamomile,"Calming, soothing, and relaxing",chamomile,30 grams
Green Tea,Enlightening and invigorating,japan sencha kakagawa,70 grams
Green Tea and Calendula,Happy days,japan sencha kakagawa and calendula,70 grams
Green Tea and Hawthorne,The tranquil heart,japan sencha kakagawa and hawthorne,70 grams
Green Tea and Hibiscus,Freedom,japan sencha kakagawa and hibiscus,70 grams
Green Tea and Jasmine,Lightened mind,japan sencha kakagawa and jasmine,70 grams
Green Tea and Lavender,Enlightened comfort,japan sencha kakagawa and lavender,70 grams
Green Tea and Lemongrass,Zen meditation,japan sencha kakagawa and lemongrass,70 grams
Green Tea and Peppermint,Awakenings,japan sencha kakagawa and peppermint,70 grams
Green Tea and Rose Petals,Stimulating the core,japan sencha kakagawa and rose petals,70 grams
Hawthorne,Healing the heart,hawthorne,30 grams
Hibiscus,Connecting to source,hibiscus,30 grams
Jasmine,"Sensual, lightening, and fulfilling",jasmine,30 grams
Lavender,"Calming, anti-bacterial, and anti-fungal",lavender,30 grams
Lemongrass,"Clearing, centring, and meditation",lemongrass,30 grams
Peppermint,Happy tummy,peppermint,30 grams
Rose Petals,Centring the core,rose petals,30 grams
Ohhhm,Joyful connection,"japan sencha kakagawa, green rooibos, chamomile flowers, cinnamon, hibiscus, white tea, and dandelion",70 grams
Spirit of the horse,Mind heart connection,"japan sencha kakagawa, hawthorne, and rose petals",70 grams
Sistars,Doing the work,"japan sencha kakagawa, green yerba mate, black tea, gynostemma, and ginseng",70 grams
That Creative Moment,Follow your Heart and the rest falls into place,"japan sencha kakagawa, hibiscus, and rose petals",70 grams
