Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-traveller-shaman-3.0-bath-treatment,Master Cleanse - Traveller - Shaman 3.0 - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Bath Treatment, Scent: Traveller - Shaman 3.0",true,Size,100g,,,,,Master Cleanse - Traveller - Shaman 3.0 - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Traveller_-_Shaman_3.0_-_Front.png,1,Master Cleanse - Traveller - Shaman 3.0 - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Traveller_-_Shaman_3.0_-_Front.png,g,,,active
master-cleanse-traveller-shaman-3.0-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Traveller - Shaman 3.0 - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Master_Cleanse_-_Traveller_-_Shaman_3.0_-_Front.png,g,,,active
master-cleanse-traveller-shaman-3.0-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Traveller - Shaman 3.0 - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Master_Cleanse_-_Traveller_-_Shaman_3.0_-_Front.png,g,,,active
master-cleanse-traveller-shaman-3.0-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Traveller - Shaman 3.0 - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_2kg_-_Master_Cleanse_-_Traveller_-_Shaman_3.0_-_Front.png,g,,,active
master-cleanse-community-shaman-2.0-bath-treatment,Master Cleanse - Community - Shaman 2.0 - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Bath Treatment, Scent: Community - Shaman 2.0",true,Size,100g,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Community_-_Shaman_2.0_-_Front.png,1,Master Cleanse - Community - Shaman 2.0 - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Community_-_Shaman_2.0_-_Front.png,g,,,active
master-cleanse-community-shaman-2.0-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Master_Cleanse_-_Community_-_Shaman_2.0_-_Front.png,g,,,active
master-cleanse-community-shaman-2.0-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_1kg_-_Master_Cleanse_-_Community_-_Shaman_2.0_-_Front.png,g,,,active
master-cleanse-community-shaman-2.0-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Community - Shaman 2.0 - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_2kg_-_Master_Cleanse_-_Community_-_Shaman_2.0_-_Front.png,g,,,active
master-cleanse-shaman-bath-treatment,Master Cleanse - Shaman - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Bath Treatment, Scent: Shaman",true,Size,100g,,,,,Master Cleanse - Shaman - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Shaman_-_Front.png,1,Master Cleanse - Shaman - Bath Treatment,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_100g_-_Master_Cleanse_-_Shaman_-_Front.png,g,,,active
master-cleanse-shaman-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Shaman - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Bath_Treatment_-_250g_-_Master_Cleanse_-_Shaman_-_Front.png,g,,,active
