Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-allspice-essential-oil-blend,Vintage - Allspice - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Allspice, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Allspice - Essential Oil Blend - 15ml,15,,0,deny,manual,56,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Allspice - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-amber-essential-oil-blend,Vintage - Amber - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Amber, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Amber - Essential Oil Blend - 15ml,15,,0,deny,manual,18,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Amber - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-aniseed-essential-oil-blend,Vintage - Aniseed - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Aniseed, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Aniseed - Essential Oil Blend - 15ml,15,,0,deny,manual,18,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Aniseed - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-apple-pie-essential-oil-blend,Vintage - Apple Pie - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Apple Pie, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Apple Pie - Essential Oil Blend - 15ml,15,,0,deny,manual,18,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Apple Pie - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-armoise-mugwort-essential-oil-blend,Vintage - Armoise Mugwort - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Armoise Mugwort, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Armoise Mugwort - Essential Oil Blend - 15ml,15,,0,deny,manual,56,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Armoise Mugwort - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-back-forest-essential-oil-blend,Vintage - Back Forest - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Back Forest, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Back Forest - Essential Oil Blend - 15ml,15,,0,deny,manual,18,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Back Forest - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-black-magic-essential-oil-blend,Vintage - Black Magic - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Black Magic, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Black Magic - Essential Oil Blend - 15ml,15,,0,deny,manual,18,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Black Magic - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-black-pepper-essential-oil-blend,Vintage - Black Pepper - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Black Pepper, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Black Pepper - Essential Oil Blend - 15ml,15,,0,deny,manual,25,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Black Pepper - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-cade-essential-oil-blend,Vintage - Cade - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Cade, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Cade - Essential Oil Blend - 15ml,15,,0,deny,manual,40,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Cade - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-cassia-essential-oil-blend,Vintage - Cassia - Essential Oil Blend ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Cassia, Product: Essential Oil Blend",true,Size,15ml,,,,,Vintage - Cassia - Essential Oil Blend - 15ml,15,,0,deny,manual,18,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Cassia - Essential Oil Blend ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
