Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-allspice-bath-treatment,Vintage - Allspice - Bath Treatment ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Allspice, Product: Bath Treatment",true,Size,100g,,,,,Vintage - Allspice - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Allspice - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-allspice-bath-treatment,,,,,,,,250g,,,,,Vintage - Allspice - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-allspice-bath-treatment,,,,,,,,1kg,,,,,Vintage - Allspice - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-allspice-bath-treatment,,,,,,,,2kg,,,,,Vintage - Allspice - Bath Treatment - 2kg,2000,,0,deny,manual,52,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-amber-bath-treatment,Vintage - Amber - Bath Treatment ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Amber, Product: Bath Treatment",true,Size,100g,,,,,Vintage - Amber - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Amber - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-amber-bath-treatment,,,,,,,,250g,,,,,Vintage - Amber - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-amber-bath-treatment,,,,,,,,1kg,,,,,Vintage - Amber - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-amber-bath-treatment,,,,,,,,2kg,,,,,Vintage - Amber - Bath Treatment - 2kg,2000,,0,deny,manual,52,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-aniseed-bath-treatment,Vintage - Aniseed - Bath Treatment ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Aniseed, Product: Bath Treatment",true,Size,100g,,,,,Vintage - Aniseed - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Aniseed - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-aniseed-bath-treatment,,,,,,,,250g,,,,,Vintage - Aniseed - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-aniseed-bath-treatment,,,,,,,,1kg,,,,,Vintage - Aniseed - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-aniseed-bath-treatment,,,,,,,,2kg,,,,,Vintage - Aniseed - Bath Treatment - 2kg,2000,,0,deny,manual,52,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-apple-pie-bath-treatment,Vintage - Apple Pie - Bath Treatment ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Apple Pie, Product: Bath Treatment",true,Size,100g,,,,,Vintage - Apple Pie - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Apple Pie - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-apple-pie-bath-treatment,,,,,,,,250g,,,,,Vintage - Apple Pie - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-apple-pie-bath-treatment,,,,,,,,1kg,,,,,Vintage - Apple Pie - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-apple-pie-bath-treatment,,,,,,,,2kg,,,,,Vintage - Apple Pie - Bath Treatment - 2kg,2000,,0,deny,manual,52,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-armoise-mugwort-bath-treatment,Vintage - Armoise Mugwort - Bath Treatment ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Armoise Mugwort, Product: Bath Treatment",true,Size,100g,,,,,Vintage - Armoise Mugwort - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Armoise Mugwort - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-armoise-mugwort-bath-treatment,,,,,,,,250g,,,,,Vintage - Armoise Mugwort - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-armoise-mugwort-bath-treatment,,,,,,,,1kg,,,,,Vintage - Armoise Mugwort - Bath Treatment - 1kg,1000,,0,deny,manual,30,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-armoise-mugwort-bath-treatment,,,,,,,,2kg,,,,,Vintage - Armoise Mugwort - Bath Treatment - 2kg,2000,,0,deny,manual,52,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-back-forest-bath-treatment,Vintage - Back Forest - Bath Treatment ,,Wild Woman Medicine Show,product,"Line: Vintage, Blend: Back Forest, Product: Bath Treatment",true,Size,100g,,,,,Vintage - Back Forest - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,1,Vintage - Back Forest - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
vintage-back-forest-bath-treatment,,,,,,,,250g,,,,,Vintage - Back Forest - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/Coming_Soon.png,g,,,active
