Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-a-conspiracy-of-healers-bath-treatment,Master Cleanse - A Conspiracy of Healers - Bath Treatment ,"I met a Buddha. I climbed from a Lotus Flower Pond, up a hill, using the granite stepping stones, to his Pagoda. While I climbed, he showed me what looked like piano keys, black and white, floating connected in odd configurations in the sky above me. He told me, while pointing at them, that the black and white keys were all LOVE.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: A Conspiracy of Healers, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - A Conspiracy of Healers - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - A Conspiracy of Healers - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-a-conspiracy-of-healers-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - A Conspiracy of Healers - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
master-cleanse-a-conspiracy-of-healers-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - A Conspiracy of Healers - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-a-conspiracy-of-healers-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - A Conspiracy of Healers - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20A%20Conspiracy%20of%20Healers%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,Master Cleanse - Beauty and Truth - Bath Treatment ,"Amidst the work of our daily practice we find moments of Bright, Light, Epiphanies, and Joy. Give these the full Power of Attention and they will grow and become a life's Work. Let these moments come and go easily, bless them and make room for more.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Beauty and Truth, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Beauty and Truth - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,,,,,,,,1kg,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 1kg,1000,,0,deny,manual,35,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth%20-%20Bath%20Treatment%20-%201kg%20-%20Front.png,g,,,active
master-cleanse-beauty-and-truth-bath-treatment,,,,,,,,2kg,,,,,Master Cleanse - Beauty and Truth - Bath Treatment - 2kg,2000,,0,deny,manual,60,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Beauty%20and%20Truth%20-%20Bath%20Treatment%20-%202kg%20-%20Front.png,g,,,active
master-cleanse-blue-star-bath-treatment,Master Cleanse - Blue Star - Bath Treatment ,"Having a Knowing, Faith and Belief in The Path aligns us with the Pure Force of Nature, The Voice of Spirit and moves us with the Power of our convictions. Be prepared to Stand your Ground.",Wild Woman Medicine Show,product,"Line: Master Cleanse, Blend: Blue Star, Product: Bath Treatment",true,Size,100g,,,,,Master Cleanse - Blue Star - Bath Treatment - 100g,100,,0,deny,manual,7.5,,true,true,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Blue%20Star%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,1,Master Cleanse - Blue Star - Bath Treatment ,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Blue%20Star%20-%20Bath%20Treatment%20-%20100g%20-%20Front.png,g,,,active
master-cleanse-blue-star-bath-treatment,,,,,,,,250g,,,,,Master Cleanse - Blue Star - Bath Treatment - 250g,250,,0,deny,manual,15,,true,true,,,,,false,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Wild-Woman-Medicine-Show/WWMS/main/Product%20Images/WWMS/Standardized/WWMS%20-%20Master%20Cleanse%20-%20Blue%20Star%20-%20Bath%20Treatment%20-%20250g%20-%20Front.png,g,,,active
