Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-a-conspiracy-of-healers-healing-balm,Master Cleanse - A Conspiracy of Healers - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: A Conspiracy of Healers",true,Size,16,#VALUE!,42,42,Master_Cleanse,Healing_Balm,A_Conspiracy_of_Healers,60ml,,,,,Master Cleanse - A Conspiracy of Healers - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - A Conspiracy of Healers - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-a-conspiracy-of-healers-healing-balm,,,,,,,,16,#VALUE!,42,42,Master_Cleanse,Healing_Balm,A_Conspiracy_of_Healers,120ml,,,,,Master Cleanse - A Conspiracy of Healers - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-beauty-and-truth-healing-balm,Master Cleanse - Beauty and Truth - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Beauty and Truth",true,Size,16,#VALUE!,35,35,Master_Cleanse,Healing_Balm,Beauty_and_Truth,60ml,,,,,Master Cleanse - Beauty and Truth - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Beauty and Truth - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-beauty-and-truth-healing-balm,,,,,,,,16,#VALUE!,35,35,Master_Cleanse,Healing_Balm,Beauty_and_Truth,120ml,,,,,Master Cleanse - Beauty and Truth - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-blue-star-healing-balm,Master Cleanse - Blue Star - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Blue Star",true,Size,16,#VALUE!,28,28,Master_Cleanse,Healing_Balm,Blue_Star,60ml,,,,,Master Cleanse - Blue Star - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Blue Star - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-blue-star-healing-balm,,,,,,,,16,#VALUE!,28,28,Master_Cleanse,Healing_Balm,Blue_Star,120ml,,,,,Master Cleanse - Blue Star - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-chaos-medicine-healing-balm,Master Cleanse - Chaos Medicine - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Chaos Medicine",true,Size,16,#VALUE!,33,33,Master_Cleanse,Healing_Balm,Chaos_Medicine,60ml,,,,,Master Cleanse - Chaos Medicine - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Chaos Medicine - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-chaos-medicine-healing-balm,,,,,,,,16,#VALUE!,33,33,Master_Cleanse,Healing_Balm,Chaos_Medicine,120ml,,,,,Master Cleanse - Chaos Medicine - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-community-shaman-3.0-healing-balm,Master Cleanse - Community - Shaman 3.0 - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Community - Shaman 3.0",true,Size,16,41,28,41,Master_Cleanse,Healing_Balm,Community_-_Shaman_3.0,60ml,,,,,Master Cleanse - Community - Shaman 3.0 - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Community - Shaman 3.0 - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-community-shaman-3.0-healing-balm,,,,,,,,16,41,28,41,Master_Cleanse,Healing_Balm,Community_-_Shaman_3.0,120ml,,,,,Master Cleanse - Community - Shaman 3.0 - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-emotional-body-healing-balm,Master Cleanse - Emotional Body - Healing Balm,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Healing Balm, Scent: Emotional Body",true,Size,16,#VALUE!,33,33,Master_Cleanse,Healing_Balm,Emotional_Body,60ml,,,,,Master Cleanse - Emotional Body - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Emotional Body - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-emotional-body-healing-balm,,,,,,,,16,#VALUE!,33,33,Master_Cleanse,Healing_Balm,Emotional_Body,120ml,,,,,Master Cleanse - Emotional Body - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
