Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-bad-kitty-lotion,Traditional - Bad kitty - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Bad kitty",true,Size,13,#VALUE!,25,25,Traditional,Lotion,Bad_kitty,60ml,,,,,Traditional - Bad kitty - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Bad kitty - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bad-kitty-lotion,,,,,,,,13,#VALUE!,25,25,Traditional,Lotion,Bad_kitty,120ml,,,,,Traditional - Bad kitty - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bliss-lotion,Traditional - Bliss - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Bliss",true,Size,13,#VALUE!,21,21,Traditional,Lotion,Bliss,60ml,,,,,Traditional - Bliss - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Bliss - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bliss-lotion,,,,,,,,13,#VALUE!,21,21,Traditional,Lotion,Bliss,120ml,,,,,Traditional - Bliss - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-detox-lotion,Traditional - Detox - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Detox",true,Size,13,#VALUE!,21,21,Traditional,Lotion,Detox,60ml,,,,,Traditional - Detox - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Detox - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-detox-lotion,,,,,,,,13,#VALUE!,21,21,Traditional,Lotion,Detox,120ml,,,,,Traditional - Detox - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dragons-blood-lotion,Traditional - Dragons Blood - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Dragons Blood",true,Size,13,#VALUE!,29,29,Traditional,Lotion,Dragons_Blood,60ml,,,,,Traditional - Dragons Blood - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Dragons Blood - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dragons-blood-lotion,,,,,,,,13,#VALUE!,29,29,Traditional,Lotion,Dragons_Blood,120ml,,,,,Traditional - Dragons Blood - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dreamtime-lotion,Traditional - Dreamtime - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Dreamtime",true,Size,13,#VALUE!,25,25,Traditional,Lotion,Dreamtime,60ml,,,,,Traditional - Dreamtime - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Dreamtime - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dreamtime-lotion,,,,,,,,13,#VALUE!,25,25,Traditional,Lotion,Dreamtime,120ml,,,,,Traditional - Dreamtime - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-earth-lotion,Traditional - Earth - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Earth",true,Size,13,#VALUE!,21,21,Traditional,Lotion,Earth,60ml,,,,,Traditional - Earth - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Earth - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-earth-lotion,,,,,,,,13,#VALUE!,21,21,Traditional,Lotion,Earth,120ml,,,,,Traditional - Earth - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-freedom-lotion,Traditional - Freedom - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Lotion, Scent: Freedom",true,Size,13,#VALUE!,23,23,Traditional,Lotion,Freedom,60ml,,,,,Traditional - Freedom - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Freedom - Lotion,false,,,,,,,,,,,,,,,,,g,,,active
traditional-freedom-lotion,,,,,,,,13,#VALUE!,23,23,Traditional,Lotion,Freedom,120ml,,,,,Traditional - Freedom - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
