,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,Product Line,Product Type,Product Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-allspice-essential-oil,Vintage - And Now For The Rest Of The Story - Essential Oil,,Wild Woman Medicine Show,product,"Vintage, Essential Oil",true,Size,9,#VALUE!,45,45,Vintage,Essential_Oil,And_Now_For_The_Rest_Of_The_Story,15ml,,,,,Vintage - And Now For The Rest Of The Story - Essential Oil - 15ml,15,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Allspice_-_Front.png,1,Vintage - Allspice - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Allspice_-_Front.png,g,,,active
vintage-amber-fragrance-oil,Vintage - Love Sweat and Tears - Essential Oil,,Wild Woman Medicine Show,product,"Vintage, Essential Oil",true,Size,9,#VALUE!,32,32,Vintage,Essential_Oil,Love_Sweat_and_Tears,15ml,,,,,Vintage - Love Sweat and Tears - Essential Oil - 15ml,15,,0,deny,manual,35,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Amber_-_Front.png,1,Vintage - Amber - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Amber_-_Front.png,g,,,active
vintage-aniseed-essential-oil,Vintage - Sex On The Beach - Fragrance Oil,,Wild Woman Medicine Show,product,"Vintage, Fragrance Oil",true,Size,9,#VALUE!,28,28,Vintage,Fragrance_Oil,Sex_On_The_Beach,15ml,,,,,Vintage - Sex On The Beach - Fragrance Oil - 15ml,15,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Aniseed_-_Front.png,1,Vintage - Aniseed - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Aniseed_-_Front.png,g,,,active
vintage-apple-pie-fragrance-oil,Vintage - Smoke on the Water - Essential Oil,,Wild Woman Medicine Show,product,"Vintage, Essential Oil",true,Size,9,#VALUE!,30,30,Vintage,Essential_Oil,Smoke_on_the_Water,15ml,,,,,Vintage - Smoke on the Water - Essential Oil - 15ml,15,,0,deny,manual,30,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Apple_Pie_-_Front.png,1,Vintage - Apple Pie - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Apple_Pie_-_Front.png,g,,,active
vintage-armoise-mugwort-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Armoise_Mugwort_-_Front.png,1,Vintage - Armoise Mugwort - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Armoise_Mugwort_-_Front.png,g,,,active
vintage-back-forest-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Back_Forest_-_Front.png,1,Vintage - Back Forest - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Back_Forest_-_Front.png,g,,,active
vintage-black-magic-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Black_Magic_-_Front.png,1,Vintage - Black Magic - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Black_Magic_-_Front.png,g,,,active
vintage-black-pepper-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Black_Pepper_-_Front.png,1,Vintage - Black Pepper - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Black_Pepper_-_Front.png,g,,,active
vintage-cade-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cade_-_Front.png,1,Vintage - Cade - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cade_-_Front.png,g,,,active
vintage-cassia-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cassia_-_Front.png,1,Vintage - Cassia - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Cassia_-_Front.png,g,,,active
