Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-wild-love-lotion,Traditional - Wild Love - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Wild Love, Type: Lotion",true,Size,60ml,,,,,Traditional - Wild Love - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_31ffc162-c2ff-4f5e-b403-85d73ca25427.png?v=1612216631,1,Traditional - Wild Love - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-wild-love-lotion,,,,,,,,120ml,,,,,Traditional - Wild Love - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-violet-lotion,Traditional - Violet - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Violet, Type: Lotion",true,Size,60ml,,,,,Traditional - Violet - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_cb077499-baed-4398-a200-965ae5d74203.png?v=1612216630,1,Traditional - Violet - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-violet-lotion,,,,,,,,120ml,,,,,Traditional - Violet - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-transform-lotion,Traditional - Transform - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Transform, Type: Lotion",true,Size,60ml,,,,,Traditional - Transform - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_7976d95d-97e7-4f6c-9f9d-e54fea5260f7.png?v=1612216629,1,Traditional - Transform - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-transform-lotion,,,,,,,,120ml,,,,,Traditional - Transform - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-thieves-lotion,Traditional - Thieves - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Thieves, Type: Lotion",true,Size,60ml,,,,,Traditional - Thieves - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_d5470564-13ac-4162-b3d7-534875d5a13f.png?v=1612216628,1,Traditional - Thieves - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-thieves-lotion,,,,,,,,120ml,,,,,Traditional - Thieves - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-tantra-lotion,Traditional - Tantra - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Tantra, Type: Lotion",true,Size,60ml,,,,,Traditional - Tantra - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_42f06d4d-7cf4-4002-add3-a7a41e292f3b.png?v=1612216626,1,Traditional - Tantra - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-tantra-lotion,,,,,,,,120ml,,,,,Traditional - Tantra - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-sweetgrass-lotion,Traditional - Sweetgrass - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Sweetgrass, Type: Lotion",true,Size,60ml,,,,,Traditional - Sweetgrass - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_64f4239d-f8e0-49ab-8a56-ec1634a5dc5c.png?v=1612216625,1,Traditional - Sweetgrass - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-sweetgrass-lotion,,,,,,,,120ml,,,,,Traditional - Sweetgrass - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-shine-lotion,Traditional - Shine - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Shine, Type: Lotion",true,Size,60ml,,,,,Traditional - Shine - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_9659042a-3297-402f-bf8e-5d319c8926a2.png?v=1612216623,1,Traditional - Shine - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-shine-lotion,,,,,,,,120ml,,,,,Traditional - Shine - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-sage-lotion,Traditional - Sage - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Sage, Type: Lotion",true,Size,60ml,,,,,Traditional - Sage - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_d791fe08-fe10-456c-a13f-c4dd12394dca.png?v=1612216622,1,Traditional - Sage - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
traditional-sage-lotion,,,,,,,,120ml,,,,,Traditional - Sage - Lotion - 120ml,120,,0,deny,manual,28,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
traditional-rose-lotion,Traditional - Rose - Lotion,,Wild Woman Medicine Show,product,"Line: Traditional, Scent: Rose, Type: Lotion",true,Size,60ml,,,,,Traditional - Rose - Lotion - 60ml,60,,0,deny,manual,15,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/Coming_Soon_ca129b96-f3e3-4ad2-8513-0205f7190cae.png?v=1612216620,1,Traditional - Rose - Lotion,false,,,,,,,,,,,,,,,,,g,,,archived
