Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-all-the-orange-bath-treatment,Vintage - All The Orange - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Vintage, Type: Bath Treatment, Scent: All The Orange",true,Size,9,#VALUE!,26,26,Vintage,Bath_Treatment,All_The_Orange,50g,,,,,Vintage - All The Orange - Bath Treatment - 50g,50,,0,deny,manual,3,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Vintage - All The Orange - Bath Treatment,false,,,,,,,,,,,,,,,,,g,,,active
vintage-all-the-orange-bath-treatment,,,,,,,,9,#VALUE!,26,26,Vintage,Bath_Treatment,All_The_Orange,100g,,,,,Vintage - All The Orange - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
vintage-all-the-orange-bath-treatment,,,,,,,,9,#VALUE!,26,26,Vintage,Bath_Treatment,All_The_Orange,250g,,,,,Vintage - All The Orange - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
vintage-bergamot-bath-treatment,Vintage - Bergamot - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Vintage, Type: Bath Treatment, Scent: Bergamot",true,Size,9,#VALUE!,20,20,Vintage,Bath_Treatment,Bergamot,50g,,,,,Vintage - Bergamot - Bath Treatment - 50g,50,,0,deny,manual,3,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Vintage - Bergamot - Bath Treatment,false,,,,,,,,,,,,,,,,,g,,,active
vintage-bergamot-bath-treatment,,,,,,,,9,#VALUE!,20,20,Vintage,Bath_Treatment,Bergamot,100g,,,,,Vintage - Bergamot - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
vintage-bergamot-bath-treatment,,,,,,,,9,#VALUE!,20,20,Vintage,Bath_Treatment,Bergamot,250g,,,,,Vintage - Bergamot - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
vintage-cedar-bath-treatment,Vintage - Cedar - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Vintage, Type: Bath Treatment, Scent: Cedar",true,Size,9,#VALUE!,17,17,Vintage,Bath_Treatment,Cedar,50g,,,,,Vintage - Cedar - Bath Treatment - 50g,50,,0,deny,manual,3,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Vintage - Cedar - Bath Treatment,false,,,,,,,,,,,,,,,,,g,,,active
vintage-cedar-bath-treatment,,,,,,,,9,#VALUE!,17,17,Vintage,Bath_Treatment,Cedar,100g,,,,,Vintage - Cedar - Bath Treatment - 100g,100,,0,deny,manual,6,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
vintage-cedar-bath-treatment,,,,,,,,9,#VALUE!,17,17,Vintage,Bath_Treatment,Cedar,250g,,,,,Vintage - Cedar - Bath Treatment - 250g,250,,0,deny,manual,12,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
vintage-coconut-bath-treatment,Vintage - Coconut - Bath Treatment,,Wild Woman Medicine Show,product,"Line: Vintage, Type: Bath Treatment, Scent: Coconut",true,Size,9,#VALUE!,19,19,Vintage,Bath_Treatment,Coconut,50g,,,,,Vintage - Coconut - Bath Treatment - 50g,50,,0,deny,manual,3,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Vintage - Coconut - Bath Treatment,false,,,,,,,,,,,,,,,,,g,,,active
