Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-bad-kitty-healing-balm,Traditional - Bad kitty - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Bad kitty",true,Size,13,#VALUE!,25,25,Traditional,Healing_Balm,Bad_kitty,60ml,,,,,Traditional - Bad kitty - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Bad kitty - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bad-kitty-healing-balm,,,,,,,,13,#VALUE!,25,25,Traditional,Healing_Balm,Bad_kitty,120ml,,,,,Traditional - Bad kitty - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bliss-healing-balm,Traditional - Bliss - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Bliss",true,Size,13,#VALUE!,21,21,Traditional,Healing_Balm,Bliss,60ml,,,,,Traditional - Bliss - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Bliss - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bliss-healing-balm,,,,,,,,13,#VALUE!,21,21,Traditional,Healing_Balm,Bliss,120ml,,,,,Traditional - Bliss - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-detox-healing-balm,Traditional - Detox - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Detox",true,Size,13,#VALUE!,21,21,Traditional,Healing_Balm,Detox,60ml,,,,,Traditional - Detox - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Detox - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-detox-healing-balm,,,,,,,,13,#VALUE!,21,21,Traditional,Healing_Balm,Detox,120ml,,,,,Traditional - Detox - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dragons-blood-healing-balm,Traditional - Dragons Blood - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Dragons Blood",true,Size,13,#VALUE!,29,29,Traditional,Healing_Balm,Dragons_Blood,60ml,,,,,Traditional - Dragons Blood - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Dragons Blood - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dragons-blood-healing-balm,,,,,,,,13,#VALUE!,29,29,Traditional,Healing_Balm,Dragons_Blood,120ml,,,,,Traditional - Dragons Blood - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dreamtime-healing-balm,Traditional - Dreamtime - Healing Balm,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Healing Balm, Scent: Dreamtime",true,Size,13,#VALUE!,25,25,Traditional,Healing_Balm,Dreamtime,60ml,,,,,Traditional - Dreamtime - Healing Balm - 60ml,60,,0,deny,manual,18,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Dreamtime - Healing Balm,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dreamtime-healing-balm,,,,,,,,13,#VALUE!,25,25,Traditional,Healing_Balm,Dreamtime,120ml,,,,,Traditional - Dreamtime - Healing Balm - 120ml,120,,0,deny,manual,25,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
