Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-a-conspiracy-of-healers-protection-mist,Master Cleanse - A Conspiracy of Healers - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: A Conspiracy of Healers",true,Size,16,#VALUE!,42,42,Master_Cleanse,Protection_Mist,A_Conspiracy_of_Healers,60ml,,,,,Master Cleanse - A Conspiracy of Healers - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - A Conspiracy of Healers - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-a-conspiracy-of-healers-protection-mist,,,,,,,,16,#VALUE!,42,42,Master_Cleanse,Protection_Mist,A_Conspiracy_of_Healers,120ml,,,,,Master Cleanse - A Conspiracy of Healers - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-beauty-and-truth-protection-mist,Master Cleanse - Beauty and Truth - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Beauty and Truth",true,Size,16,#VALUE!,35,35,Master_Cleanse,Protection_Mist,Beauty_and_Truth,60ml,,,,,Master Cleanse - Beauty and Truth - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Beauty and Truth - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-beauty-and-truth-protection-mist,,,,,,,,16,#VALUE!,35,35,Master_Cleanse,Protection_Mist,Beauty_and_Truth,120ml,,,,,Master Cleanse - Beauty and Truth - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-blue-star-protection-mist,Master Cleanse - Blue Star - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Blue Star",true,Size,16,#VALUE!,28,28,Master_Cleanse,Protection_Mist,Blue_Star,60ml,,,,,Master Cleanse - Blue Star - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Blue Star - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-blue-star-protection-mist,,,,,,,,16,#VALUE!,28,28,Master_Cleanse,Protection_Mist,Blue_Star,120ml,,,,,Master Cleanse - Blue Star - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-chaos-medicine-protection-mist,Master Cleanse - Chaos Medicine - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Chaos Medicine",true,Size,16,#VALUE!,33,33,Master_Cleanse,Protection_Mist,Chaos_Medicine,60ml,,,,,Master Cleanse - Chaos Medicine - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Chaos Medicine - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-chaos-medicine-protection-mist,,,,,,,,16,#VALUE!,33,33,Master_Cleanse,Protection_Mist,Chaos_Medicine,120ml,,,,,Master Cleanse - Chaos Medicine - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-community-shaman-3.0-protection-mist,Master Cleanse - Community - Shaman 3.0 - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Community - Shaman 3.0",true,Size,16,41,28,41,Master_Cleanse,Protection_Mist,Community_-_Shaman_3.0,60ml,,,,,Master Cleanse - Community - Shaman 3.0 - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Community - Shaman 3.0 - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-community-shaman-3.0-protection-mist,,,,,,,,16,41,28,41,Master_Cleanse,Protection_Mist,Community_-_Shaman_3.0,120ml,,,,,Master Cleanse - Community - Shaman 3.0 - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
