Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traditional-bad-kitty-protection-mist,Traditional - Bad kitty - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Bad kitty",true,Size,13,#VALUE!,25,25,Traditional,Protection_Mist,Bad_kitty,60ml,,,,,Traditional - Bad kitty - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Bad kitty - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bad-kitty-protection-mist,,,,,,,,13,#VALUE!,25,25,Traditional,Protection_Mist,Bad_kitty,120ml,,,,,Traditional - Bad kitty - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bliss-protection-mist,Traditional - Bliss - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Bliss",true,Size,13,#VALUE!,21,21,Traditional,Protection_Mist,Bliss,60ml,,,,,Traditional - Bliss - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Bliss - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-bliss-protection-mist,,,,,,,,13,#VALUE!,21,21,Traditional,Protection_Mist,Bliss,120ml,,,,,Traditional - Bliss - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-detox-protection-mist,Traditional - Detox - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Detox",true,Size,13,#VALUE!,21,21,Traditional,Protection_Mist,Detox,60ml,,,,,Traditional - Detox - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Detox - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-detox-protection-mist,,,,,,,,13,#VALUE!,21,21,Traditional,Protection_Mist,Detox,120ml,,,,,Traditional - Detox - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dragons-blood-protection-mist,Traditional - Dragons Blood - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Dragons Blood",true,Size,13,#VALUE!,29,29,Traditional,Protection_Mist,Dragons_Blood,60ml,,,,,Traditional - Dragons Blood - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Dragons Blood - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dragons-blood-protection-mist,,,,,,,,13,#VALUE!,29,29,Traditional,Protection_Mist,Dragons_Blood,120ml,,,,,Traditional - Dragons Blood - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dreamtime-protection-mist,Traditional - Dreamtime - Protection Mist,,Wild Woman Medicine Show,product,"Line: Traditional, Type: Protection Mist, Scent: Dreamtime",true,Size,13,#VALUE!,25,25,Traditional,Protection_Mist,Dreamtime,60ml,,,,,Traditional - Dreamtime - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Traditional - Dreamtime - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
traditional-dreamtime-protection-mist,,,,,,,,13,#VALUE!,25,25,Traditional,Protection_Mist,Dreamtime,120ml,,,,,Traditional - Dreamtime - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
